"origipaddr(p0)","origipaddr(p1)","origipaddr(p2)","destipaddr","datetimeconnect","datetimedisconnect","duration","origdevicename(p0)","origdevicename(p1)","origdevicename(p2)","origdevicename(p3)","origipv4v6addr(p0)","origipv4v6addr(p1)","origipv4v6addr(p2)","origipv4v6addr(p3)","destipv4v6addr"
0,0,1,-1,-1,0.6509793165443065,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6510651513443095,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6511502058279488,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6512290177806788,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6513062691006815,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6513897629515935,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6514740371188692,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0,1,-1,-1,0.6515544097043264,-1,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,-0.7905694150420949,-0.4564354645876385,-0.32274861218395134,-0.25,0
0,0.9428090415820636,-0.33333333333333326,-0.260067418421298,0.998836820779915,0.35676571352323383,-0.9699115044247788,0,0,0.9682458365518543,-0.25,0,0.912870929175277,-0.32274861218395134,-0.25,-0.8666666666666272
0,0.9428090415820636,-0.33333333333333326,-0.9053741515223583,0.9988368687560767,0.35679536554505287,-0.9628318584070796,0,0,0.9682458365518543,-0.25,0,0.912870929175277,-0.32274861218395134,-0.25,-0.8666666666666272
