origIpAddr,destIpAddr,originalCalledPartyNumber,finalCalledPartyNumber,dateTimeConnect,dateTimeDisconnect,duration,origDeviceName,destDeviceName,origIpv4v6Addr,destIpv4v6Addr,callingPartyNumber
100820490,443115786,7777,7777,1415451260,1415451288,28,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
100820490,443115786,7777,7777,1415451260,1415451288,28,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
90334218,0,71996,71996,0,1416923308,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416923418,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416923527,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416923628,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416923727,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416923834,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416923942,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416924045,0,CUBE-01-SIP,,10.100.98.5,,100
855664138,788371958,21215,21215,1416546247,1416546264,17,SEPD824BD26953D,SEP0C85253EE38B,10.102.0.51,10.102.2.209,21670
855664138,100820490,22999,22999,1416546281,1416546302,21,SEPD824BD26953D,SEPD4D748FF9D39,10.102.0.51,10.102.2.6,21670
100820490,443115786,7777,7777,1416546281,1416546302,21,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
100820490,443115786,7777,7777,1416546281,1416546302,21,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
100820490,443115786,7777,7777,1416546304,1416546314,10,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
100820490,443115786,7777,7777,1416546305,1416546314,9,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
90334218,0,71996,71996,0,1416979195,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416979295,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416979399,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416979503,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416979655,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416979712,0,CUBE-01-SIP,,10.100.98.5,,100
100820490,443115786,7777,7777,1416979781,1416979806,25,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
100820490,443115786,7777,7777,1416979781,1416979806,25,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
90334218,0,71996,71996,0,1416979825,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416979933,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416943165,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416943271,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416943379,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416943484,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416943586,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416943699,0,CUBE-01-SIP,,10.100.98.5,,100
90334218,0,71996,71996,0,1416943806,0,CUBE-01-SIP,,10.100.98.5,,100
100820490,443115786,7777,7777,1416112835,1416112858,23,SEPD4D748FF9D39,dss-recording-trunk,10.102.2.6,10.105.105.26,b011212563001
